das,Papier,Carregando…,Carregando…
der,Abflug,Carregando…,Carregando…
der,Abflugort,Carregando…,Carregando…
das,Abitur,Carregando…,Carregando…
die,Abrechnung,invoice,fatura
der,Abschluss,Carregando…,Carregando…
die,Abschlussprüfung,final exam,exame final
der,Abstand,Carregando…,Carregando…
das,Addressbuch,Address book,Livro de endereços
die,Ahnung,Carregando…,Carregando…
der,Akku-Bohrer,Battery drill,Broca de bateria
der,Alarm,alarm,alarme
der,Alkohol,Carregando…,Carregando…
das,Alter,age,era
die,Altstadt,Carregando…,Carregando…
der,Anfang,Carregando…,Carregando…
die,Anfrage,Carregando…,Carregando…
die,Angst,anxiety,ansiedade
der,Anhang,Carregando…,Carregando…
der,Animationsfilm,Animation film,Filme de animação
der,Anruf,Call,Ligar
die,Anschrift,Carregando…,Carregando…
die,Antwort,Carregando…,Carregando…
die,App,App,Aplicativo
die,Arbeitslosenversicherung,unemployment insurance,seguro desemprego
der,Arbeitsmarket,Labor market,Mercado de trabalho
die,Arbeitspause,Break,Pausa
der,Arbeitsplan,work schedule,horário de trabalho
der,Arbeitsplatz,Workplace,Local de trabalho
die,Arbeitssuche,Job search,Procura de emprego
das,Arbeitsverhalten,Work behavior,Comportamento de trabalho
der,Arbeitsvertrag,employment contract,contrato de emprego
das,Arbeitszimmer,Workspace,Área de trabalho
das,Architekturbüro,architecture office,escritório de arquitetura.
die,Arztpraxis,doctor's office,consultório médico
der,Arzttermin,medical appointment,consulta médica
der,Aufenthalt,stay,fique
der,Auftrag,Carregando…,Carregando…
die,Ausbildung,education,Educação
das,Ausbildungsangebot,Training offer,Oferta de treinamento
das,Ausbildungsjahr,Year,Ano
der,Ausbildungsplatz,apprenticeship,aprendizagem
das,Ausflugsziel,Destination,Destino
die,Ausgabe,Carregando…,Carregando…
der,Aushang,Carregando…,Carregando…
die,Aushilfe,Carregando…,Carregando…
die,Auskunft,Carregando…,Carregando…
die,Aussprache,pronunciation,pronúncia
der,Austausch,Carregando…,Carregando…
der,Ausweis,Carregando…,Carregando…
die,Auszahlung,Payment,Pagamento
die,Autoanmeldung,Car registration,Registro de carro
die,Autobahn,Carregando…,Carregando…
der,Autokonzern,Autocracle,Autocracle.
das,Automatikprogramm,Automatic program,Programa Automático
die,Autopanne,Carregando…,Carregando…
der,Autoreifen,car tire,Pneu de carro
der,Autounfall,car accident,acidente de carro.
die,Autowerkstatt,Car repair shop,Loja de reparação de carros
das,Baby,infant,infantil
die,Babypause,Carregando…,Carregando…
der,Babysitter,baby-sitter,babá
der,Bahnsteig,Carregando…,Carregando…
das,Basilikum-Pesto,Basil pesto,Pesto de Manjericão
die,Batterie,Carregando…,Carregando…
das,Bauamt,Carregando…,Carregando…
der,Bauchtanz,Carregando…,Carregando…
der,Baumarkt,Carregando…,Carregando…
die,Bedingung,Carregando…,Carregando…
die,Begegnung,Carregando…,Carregando…
die,Behinderung,disability,incapacidade
das,Behördendeutsch,Publicity,Publicidade
der,Beipackzettel,Leaflet,Folheto
der,Bekanntenkreis,Circle,Círculo
die,Beratung,Carregando…,Carregando…
der,Bereich,Carregando…,Carregando…
der,Bericht,Carregando…,Carregando…
der,Berufsabschluss,Career,Carreira
die,Berufschance,Career opportunity,Oportunidade de carreira
die,Beschwerde,complaint,reclamação
die,Besprechung,meeting,encontro
der,Betreff,Carregando…,Carregando…
die,Betreuung,Carregando…,Carregando…
der,Betriebsrat,works Council,Comissão de Trabalhadores
die,Betriebsversammlung,Business meeting,Reunião de negócios
die,Bewegung,Carregando…,Carregando…
die,Bewerbung,Carregando…,Carregando…
das,Bewerbungsfoto,Application photo,Foto de aplicativo.
das,Bewerbungsgespräch,Job Interview,Entrevista de emprego
das,Bewerbungsschreiben,letter of application,carta de candidatura
die,Bezahlung,Carregando…,Carregando…
die,Bildung,Carregando…,Carregando…
die,Biologie,Carregando…,Carregando…
der,Blumenstrauß,Bunch of flowers,Ramo de flores
das,Blut,blood,sangue
der,Blutdruck,Carregando…,Carregando…
der,Blutwert,Carregando…,Carregando…
der,Boden,floor,piso
die,Brandsalbe,Fire ointment,Pomada de fogo
die,Braut,bride,noiva
der,Bräutigam,Carregando…,Carregando…
das,Brautkleid,wedding dress,vestido de casamento
das,Brautpaar,Carregando…,Carregando…
die,Breite,Carregando…,Carregando…
die,Briefstasche,Letter bag,Saco de letra.
die,Broschüre,Carregando…,Carregando…
die,Buchhaltung,accounting,contabilidade
die,Buchung,Carregando…,Carregando…
die,Burg,Castle,Castelo
der,Büroschlüssel,Office key,Chave de escritório
der,Campingplatz,campsite,acampamento
das,Chaos,chaos,caos
die,Chemie,Carregando…,Carregando…
der,Cholesterinwert,Cholesterol,Colesterol
das,Computerprogramm,Computer program,Programa de computador.
die,Datei,file,Arquivo
die,Dauer,duration,duração
der,Dauerauftrag,Standing Order,Ordem permanente
die,Decke,ceiling,teto
das,Desinfektionsmittel,Disinfectant,Desinfetante
die,Deutschkenntnisse,German language skills,Habilidades de língua alemã
die,Digitalkamera,Digital camera,Câmera digital
das,Ding,thing,coisa
das,Diplom,Carregando…,Carregando…
die,Disco,Disco,Discoteca
der,Dokumentarfilm,documentary,documentário
die,Doppelstunde,Double-hour,Duplo hora
der,Drucker,Carregando…,Carregando…
der,Dübel,Dowel,Dowel.
der,Durchfall,Carregando…,Carregando…
der,Durchschnitt,average,média
die,Durchwall,Carregando…,Carregando…
die,DVD,DVD,DVD
das,E-Book,Carregando…,Carregando…
die,Ehefrau,Carregando…,Carregando…
der,Ehemann,Carregando…,Carregando…
die,Eigenschaft,characteristic,característica
die,Einbauküche,Equipped kitchen,Cozinha equipada
die,Einkaufsstraße,shopping street,rua comercial
die,Einnahme,Carregando…,Carregando…
der,Einstieg,Carregando…,Carregando…
die,Einzahlung,Deposit,Depósito
der,Elternabend,Parent evening,Noite pai
das,E-Mail-Programm,E-mail program,Programa de e-mail
die,E-Mail,Carregando…,Carregando…
das,Ende,end,fim
die,Energie,Carregando…,Carregando…
die,Energieeffizienz,Energy efficiency,Eficiência energética
die,Entspannung,Relaxation,Relaxamento
die,Erdkunde,Carregando…,Carregando…
der,Erfolg,Carregando…,Carregando…
das,Ergebnis,Carregando…,Carregando…
die,Erinnerung,reminder,lembrete
das,Erlebnis,Carregando…,Carregando…
die,Ernährung,Carregando…,Carregando…
die,Erste-Hilfe,First aid,Primeiros socorros
das,Erste-Hilfe-Zentrum,First aid center,Centro de primeiros socorros
das,Esszimmer,Carregando…,Carregando…
die,Existenz,Carregando…,Carregando…
der,Existenzgründerkurs,Business start,Início de negócios
das,Fach,subject,sujeito
das,Fachabitur,Qualification,Qualificação
die,Fachhochschule,University of Applied Sciences,Universidade de Ciências Aplicadas
die,Fachoberschule,Subject,Sujeito
die,Fachrichtung,specialization,especialização
die,Fähigkeit,Carregando…,Carregando…
die,Fahrradstadt,Bicycle city,Cidade de bicicleta
der,Fahrradweg,Bicycle path,Ciclovia
das,Familienmitglied,family member,membro da família
der,Familientag,Family day,Dia da família
der,Familienwagen,Family car,Carro da família
die,Fantasie,Carregando…,Carregando…
der,Farbroller,Paint roller,Rolo de pintura
der,Fehler,Carregando…,Carregando…
der,Feiertag,Carregando…,Carregando…
der,Fernsehabend,TV evening,Noite de tv.
das,Fernsehen,Carregando…,Carregando…
das,Fernsehprogramm,Television program,Programa de televisão
der,Festtag,Carregando…,Carregando…
das,Fett,fat,gordura
das,Feuerwerk,Carregando…,Carregando…
das,Fieberthermometer,Fever thermometer,Termômetro de febre
die,Finanzierung,financing,financiamento
das,Firmenjubiläum,Company anniversary,Aniversário da empresa
die,Firmenkantine,Company edge,Borda da empresa
die,Fischspezialität,Fishpitality,Fishpitality.
das,Fitnesscenter,Fitness center,Academia
das,Fitnessstudio,Gym,Academia
der,Fleischersatz,Meat,Eu no
die,Fliese,Carregando…,Carregando…
das,Flüchtlingsheim,Refugee home,Casa de refugiados
der,Flug,flight,voo
das,Flugticket,Plane ticket,Passagem de avião
die,Förderschule,special school,Escola Especial
die,Förderung,Carregando…,Carregando…
die,Formularhilfe,Form help,Ajuda de forma
die,Fortbildung,Training,Treinamento
die,Fortbildungsmöglichkeit,Training opportunity,Oportunidade de treinamento
die,Fotografie,photography,fotografia
der,Fragebogen,questionnaire,questionário
die,Frauenfreundschaft,Female friendship,Amizade feminina
die,Frauengruppe,Female group,Grupo feminino
der,Freitagvormittag,Friday morning,sexta-feira de manhã
die,Fremdsprache,foreign language,lingua estrangeira
die,Freundschaft,Friendship,Amizade
die,Freundschaftsgeschichte,Friendship History,História da amizade
der,Freundschaftsverein,Friendship,Amizade
die,Früherkennung,early detection,detecção precoce
der,Fußballverein,Soccer club,Clube de futebol
die,Gabel,fork,garfo
die,Garantie,Carregando…,Carregando…
der,Garantieschein,Warranty,garantia
das,Gästezimmer,Guest room,Quarto de hóspedes
der,Gebrauchtwagen,used cars,carros usados
die,Geburt,Carregando…,Carregando…
das,Geburtshaus,Birthplace,Local de nascimento.
der,Geburtstag,date of birth,data de nascimento
der,Gedanke,Carregando…,Carregando…
das,Gedicht,Carregando…,Carregando…
das,Gehalt,Carregando…,Carregando…
die,Geheimnummer,Secret number,Número secreto
das,Gerät,device,dispositivo
die,Gerechtigkeit,Justice,Justiça
das,Gericht,Carregando…,Carregando…
die,Gesamtschule,comprehensive school,escola compreensiva
der,Gesangsverein,Singing club,Cantando clube
das,Geschäftskonto,Business account,Conta de negócios
die,Geschäftsreise,Business trip,Viagem de negócios
das,Geschenk,Carregando…,Carregando…
die,Geschichte,story,história
das,Geschirr,Carregando…,Carregando…
das,Gesprächsthema,Topic,Tema
der,Gesundheits-Check,Health check,Exame de saúde
die,Gesundheitsuntersuchung,Health investigation,Investigação de saúde
der,Getränkeautomat,Vending machine,Maquina de vendas
das,Getreideprodukt,Cereal,Cereal
das,Gewerbeamt,commercial office,escritório comercial.
das,Gewitter,Carregando…,Carregando…
das,Girokonto,Carregando…,Carregando…
die,Gitarre,Carregando…,Carregando…
der,Glückwunsch,congratulation,Parabéns
die,Glückwunschkarte,greeting card,Cartão
die,Grammatik,Carregando…,Carregando…
die,Grammatikregel,Grammar rule,Regra de gramática
der,Grund,reason,razão
die,Grundregel,Rule,Regra
die,Grundschule,primary school,escola primária
die,Gruppe,Carregando…,Carregando…
die,Gruppenarbeit,work in groups,trabalho em grupos
der,Gutschein,Carregando…,Carregando…
das,Gymnasium,Carregando…,Carregando…
die,Haftpflichtversicherung,Liability insurance,Seguro de responsabilidade
das,Halbjahr,Carregando…,Carregando…
der,Hammer,Carregando…,Carregando…
das,Handtuch,Carregando…,Carregando…
der,Hauptschulabschluss,Hauptschulabschluss,Hauptschulabschluss.
die,Hauptschule,secondary schools,escolas secundárias
die,Hauptspeise,main course,Prato principal
die,Hausapotheke,Homepathe,Homepathe
die,Hausaufgabenhilfe,Homework help,Ajuda do dever de casa
der,Haushalt,Carregando…,Carregando…
der,Hausmüll,Carregando…,Carregando…
die,Hausratversicherung,Household insurance,Seguro doméstico
das,Haustier,Carregando…,Carregando…
das,Heim,home,casa
der,Heimatverein,Home club,Clube Home
der,Heimverkerkurs,Home crowd,Multidão em casa
die,Hilfe,help,ajuda
der,Himmel,Carregando…,Carregando…
der,Hinflug,Carregando…,Carregando…
die,Hochzeitsfeier,wedding party,festa de casamento
die,Hochzeitskleidung,Wedding clothing,Roupa de casamento
der,Hochzeitstag,wedding day,dia do casamento
die,Hochzeitstorte,wedding cake,bolo de casamento
die,Höhe,height,altura
der,Humor,humor,humor
die,Hütte,hut,cabana
die,Immobilie,Carregando…,Carregando…
die,Information,information,em formação
die,Initiativbewerbung,initiative application,Aplicação de iniciativa
die,Innenstadt,Downtown,Centro da cidade
die,Insel,Island,ilha
die,Institution,institution,instituição
das,Interesse,Carregando…,Carregando…
die,Internetseite,Website,Local na rede Internet
der,Internetzugang,Internet access,Acesso à internet
der,Job,job,trabalho
das,Jubiläum,Carregando…,Carregando…
die,Jugend,Carregando…,Carregando…
der,Kaffeeautomat,Coffee machine,Máquina de café
die,Kaffeekanne,Coffee pot,Pote de café
die,Kaligraphie,Caligraphy,Caligrafia
die,Kaltmiete,Carregando…,Carregando…
die,Kamera,Carregando…,Carregando…
die,Kapazität,Carregando…,Carregando…
der,Karnevalsverein,Carnival club,Clube de Carnaval
die,Karteikarte,index card,cartão de índice
die,Kartoffelsuppe,Potato soup,Sopa de batata
der,Katalog,Carregando…,Carregando…
die,Katze,cat,gato
die,Kaution,Carregando…,Carregando…
die,Kerze,candle,vela
die,Kette,chain,cadeia
die,Kfz-Versicherung,Car insurance,Seguro de automóvel
der,Kilometer,Carregando…,Carregando…
die,Kindersendung,Child's program,Programa da criança
das,Kinderzimmer,nursery,berçário
der,Kiosk,kiosk,quiosque
die,Klasse,Carregando…,Carregando…
die,Klassenarbeit,Class,Classe
die,Klassenfahrt,school trip,viagem escolar
die,Klassenkasse,Classkash,Classkash.
die,Klavierbegleitung,Piano accompaniment,Acompanhamento de piano
der,Kleingartenverein,Gardening,Jardinagem
der,Kleinwagen,Small car,Carro pequeno
die,Kochidee,Carregando…,Carregando…
der,Kochkurs,Carregando…,Carregando…
der,Koffer,Carregando…,Carregando…
das,Komma,comma,vírgula
das,Konto,account,conta
die,Kontogebühr,Account fee,Taxa da conta
der,Kopfhörer,Carregando…,Carregando…
die,Kopie,Copy,cópia de
der,Kopierer,Carregando…,Carregando…
der,Körper,Carregando…,Carregando…
die,Krankenverischerung,Sickness,Doença
der,Krankenwagen,ambulance,ambulância
die,Krankheit,Carregando…,Carregando…
die,Kreativität,creativity,criatividade
der,Kredit,Carregando…,Carregando…
die,Kreditkarte,Credit card,Cartão de crédito
die,Krimiserie,Crime series,Série do crime
die,Küchenhilfe,Kitchen Help,Ajuda da cozinha
das,Küchenstudio,Kitchen studio,Estúdio de cozinha
das,Kühlregal,Carregando…,Carregando…
das,Kundententrum,Client,Cliente
die,Kunst,Arts,Artes.
der,Kurs,course,curso
das,Kursangebot,Course,Curso
das,Kurzprogramm,Short program,Programa curto
die,Küste,coast,costa
die,Laboruntersuchung,Laboratory investigation,Investigação de laboratório
das,Ladekabel,Carregando…,Carregando…
die,Lage,location,localização
das,Laminat,Carregando…,Carregando…
die,Langeweile,boredom,tédio
das,Lebensjahr,age,era
der,Lebenslauf,curriculum vitae,curriculum vitae
die,Leiter,Carregando…,Carregando…
der,Leitpfosten,Lead,Liderar
die,Lernkarte,Carregando…,Carregando…
die,Liebe,Carregando…,Carregando…
das,Lieblingsfach,favorite subject,assunto favorito
das,Lieblingsspiel,favourite game,Jogo favorito
das,Lied,song,música
der,Löffel,Carregando…,Carregando…
die,Lohnsteuerhilfe,Payroll,Folha de pagamento
das,Lokal,Carregando…,Carregando…
die,Luft,air,ar
der,Magen,Carregando…,Carregando…
die,Männerfreundschaft,Male friendship,Amizade masculina
die,Maschine,Carregando…,Carregando…
der,Maschinenbaun,Mechanical engineer,Engenheiro mecânico
das,Maß,Measurement,Medição
die,Massage,Carregando…,Carregando…
der,Massagestuhl,Massage chair,Cadeira de massagem
die,Mathematik,mathematics,matemática
die,Mediennutzung,Media usage,Uso da mídia.
das,Medium,Carregando…,Carregando…
die,Medizin,Carregando…,Carregando…
die,Meinung,Carregando…,Carregando…
das,Messer,Carregando…,Carregando…
das,Milchprodukt,Milk product,Produto do leite
die,Million,Carregando…,Carregando…
die,Minijob-Basis,Mini job basis,Mini base de emprego
das,Mitglied,Carregando…,Carregando…
der,Mitgliedsbeitrage,Member contribution,Contribuição de membros
die,Mitteilung,Message,Mensagem
die,Möglichkeit,opportunity,oportunidade
das,Museum,Carregando…,Carregando…
der,Musikfreund,Music friend,Amigo de música.
der,Musikschulverein,Music school,Escola de música
der,Musikverein,music Society,Sociedade de Música.
der,Muskel,Carregando…,Carregando…
das,Muskeltraining,Muscle,Músculo
der,Mut,courage,coragem
die,Nachbarschaft,neighborhood,vizinhança
das,Nachbarschaftshaus,Neighborhood house,Casa de bairro
die,Nachhilfe,Carregando…,Carregando…
die,Nachricht,Carregando…,Carregando…
die,Nachspeise,dessert,sobremesa
der,Nagel,Carregando…,Carregando…
der,Nähabend,Carregando…,Carregando…
das,Nahrungsmittel,food,Comida
die,Nebenwirkung,side effect,efeito colateral
das,Netzwerk,Carregando…,Carregando…
das,Neujahr,Carregando…,Carregando…
der,Neuwagen,Carregando…,Carregando…
die,Nichte,Carregando…,Carregando…
die,Not,Emergency,Emergência
der,Notarztwagen,emergency,emergência
die,Note,grade,grau
die,Notrufsäule,Emergency call,Ligação de emergência
die,Notrufzentrale,Emergency call center,Centro de Chamada de Emergência
die,Nutzungsdauer,Useful life,Vida útil
der,Oberkörper,upper body,tronco
der,Obstkorb,Carregando…,Carregando…
der,Ohrring,Carregando…,Carregando…
die,Online-Anmeldung,Online registration,Registro online
das,Online-Banking,Online Banking,Acesso a operações bancárias via Internet
das,Online-Spiel,Online game,Jogo online
die,Online-Überweisung,Online transfer,Transferência Online.
die,Option,Carregando…,Carregando…
der,Ordner,Carregando…,Carregando…
die,Ordnung,Carregando…,Carregando…
der,Pannendienst,Spanning service,Spanning Service.
das,Parfüm,Carregando…,Carregando…
die,Partei,Carregando…,Carregando…
das,Passwort,Carregando…,Carregando…
die,Pausenregel,Pause rule,Pause Regra.
der,Personenbeförderungsschein,Passenger transport certificate,Certificado de transporte de passageiros
der,Pfiff,Carregando…,Carregando…
das,Pflaster,Carregando…,Carregando…
der,Pflegedienst,Nursing,Enfermagem
die,Physik,Carregando…,Carregando…
die,PIN,pin code,Código PIN.
das,Pinsel-Set,Brush set,Pincel Set.
die,Pinzette,Carregando…,Carregando…
der,Pizzaservice,Pizza service,Serviço de pizza.
die,Pizzeria,Carregando…,Carregando…
