Article,Word,Englisch,PT
das,Papier,paper,papel
der,Abflug,departure,partida
der,Abflugort,Departure,Partida
das,Abitur,High School,Ensino médio
die,Abrechnung,invoice,fatura
der,Abschluss,diploma,diploma
die,Abschlussprüfung,final exam,exame final
der,Abstand,distance,distância
das,Addressbuch,Address book,Livro de endereços
die,Ahnung,idea,ideia
der,Akku-Bohrer,Battery drill,Broca de bateria
der,Alarm,alarm,alarme
der,Alkohol,alcohol,álcool
das,Alter,age,era
die,Altstadt,Old town,Cidade antiga
der,Anfang,Beginning,Começo
die,Anfrage,inquiry,investigação
die,Angst,anxiety,ansiedade
der,Anhang,attachment,acessório
der,Animationsfilm,Animation film,Filme de animação
der,Anruf,Call,Ligar
die,Anschrift,address,Morada
die,Antwort,answer,responder
die,App,App,Aplicativo
die,Arbeitslosenversicherung,unemployment insurance,seguro desemprego
der,Arbeitsmarket,Labor market,Mercado de trabalho
die,Arbeitspause,Break,Pausa
der,Arbeitsplan,work schedule,horário de trabalho
der,Arbeitsplatz,Workplace,Local de trabalho
die,Arbeitssuche,Job search,Procura de emprego
das,Arbeitsverhalten,Work behavior,Comportamento de trabalho
der,Arbeitsvertrag,employment contract,contrato de emprego
das,Arbeitszimmer,Workspace,Área de trabalho
das,Architekturbüro,architecture office,escritório de arquitetura.
die,Arztpraxis,doctor's office,consultório médico
der,Arzttermin,medical appointment,consulta médica
der,Aufenthalt,stay,fique
der,Auftrag,assignment,atribuição
die,Ausbildung,education,Educação
das,Ausbildungsangebot,Training offer,Oferta de treinamento
das,Ausbildungsjahr,Year,Ano
der,Ausbildungsplatz,apprenticeship,aprendizagem
das,Ausflugsziel,Destination,Destino
die,Ausgabe,output,saída
der,Aushang,Notice,Perceber
die,Aushilfe,Assistance,Assistência
die,Auskunft,information desk,balcão de informações
die,Aussprache,pronunciation,pronúncia
der,Austausch,exchange,intercâmbio
der,Ausweis,ID card,carteira de identidade
die,Auszahlung,Payment,Pagamento
die,Autoanmeldung,Car registration,Registro de carro
die,Autobahn,Highway,Rodovia
der,Autokonzern,Autocracle,Autocracle.
das,Automatikprogramm,Automatic program,Programa Automático
die,Autopanne,Carpenter,Carpinteiro
der,Autoreifen,car tire,Pneu de carro
der,Autounfall,car accident,acidente de carro.
die,Autowerkstatt,Car repair shop,Loja de reparação de carros
das,Baby,infant,infantil
die,Babypause,Baby break,Baby Break.
der,Babysitter,baby-sitter,babá
der,Bahnsteig,platform,plataforma
das,Basilikum-Pesto,Basil pesto,Pesto de Manjericão
die,Batterie,battery,bateria
das,Bauamt,Building office,Escritório de construção
der,Bauchtanz,Belly dance,Dança do ventre
der,Baumarkt,Hardware store,Loja de Hardware.
die,Bedingung,condition,doença
die,Begegnung,encounter,encontro
die,Behinderung,disability,incapacidade
das,Behördendeutsch,Publicity,Publicidade
der,Beipackzettel,Leaflet,Folheto
der,Bekanntenkreis,Circle,Círculo
die,Beratung,advisory,consultivo
der,Bereich,area,área
der,Bericht,report,relatório
der,Berufsabschluss,Career,Carreira
die,Berufschance,Career opportunity,Oportunidade de carreira
die,Beschwerde,complaint,reclamação
die,Besprechung,meeting,encontro
der,Betreff,reference,referência
die,Betreuung,maintenance,manutenção
der,Betriebsrat,works Council,Comissão de Trabalhadores
die,Betriebsversammlung,Business meeting,Reunião de negócios
die,Bewegung,Move,Mover
die,Bewerbung,application,aplicativo
das,Bewerbungsfoto,Application photo,Foto de aplicativo.
das,Bewerbungsgespräch,Job Interview,Entrevista de emprego
das,Bewerbungsschreiben,letter of application,carta de candidatura
die,Bezahlung,pay,pagar
die,Bildung,education,Educação
die,Biologie,biology,biologia
der,Blumenstrauß,Bunch of flowers,Ramo de flores
das,Blut,blood,sangue
der,Blutdruck,Blood pressure,Pressão sanguínea
der,Blutwert,Bleeding,Sangramento
der,Boden,floor,piso
die,Brandsalbe,Fire ointment,Pomada de fogo
die,Braut,bride,noiva
der,Bräutigam,groom,noivo
das,Brautkleid,wedding dress,vestido de casamento
das,Brautpaar,Bridal,Nupcial
die,Breite,broad,Largo
die,Briefstasche,Letter bag,Saco de letra.
die,Broschüre,brochure,folheto
die,Buchhaltung,accounting,contabilidade
die,Buchung,booking,reserva
die,Burg,Castle,Castelo
der,Büroschlüssel,Office key,Chave de escritório
der,Campingplatz,campsite,acampamento
das,Chaos,chaos,caos
die,Chemie,chemistry,química
der,Cholesterinwert,Cholesterol,Colesterol
das,Computerprogramm,Computer program,Programa de computador.
die,Datei,file,Arquivo
die,Dauer,duration,duração
der,Dauerauftrag,Standing Order,Ordem permanente
die,Decke,ceiling,teto
das,Desinfektionsmittel,Disinfectant,Desinfetante
die,Deutschkenntnisse,German language skills,Habilidades de língua alemã
die,Digitalkamera,Digital camera,Câmera digital
das,Ding,thing,coisa
das,Diplom,diploma,diploma
die,Disco,Disco,Discoteca
der,Dokumentarfilm,documentary,documentário
die,Doppelstunde,Double-hour,Duplo hora
der,Drucker,printer,impressora
der,Dübel,Dowel,Dowel.
der,Durchfall,diarrhea,diarréia
der,Durchschnitt,average,média
die,Durchwall,Throughout,Ao longo
die,DVD,DVD,DVD
das,E-Book,E-book,E-book.
die,Ehefrau,wife,esposa
der,Ehemann,husband,marido
die,Eigenschaft,characteristic,característica
die,Einbauküche,Equipped kitchen,Cozinha equipada
die,Einkaufsstraße,shopping street,rua comercial
die,Einnahme,Taking,Tirando
der,Einstieg,Started,Iniciado
die,Einzahlung,Deposit,Depósito
der,Elternabend,Parent evening,Noite pai
das,E-Mail-Programm,E-mail program,Programa de e-mail
die,E-Mail,e-mail,o email
das,Ende,end,fim
die,Energie,energy,energia
die,Energieeffizienz,Energy efficiency,Eficiência energética
die,Entspannung,Relaxation,Relaxamento
die,Erdkunde,Geography,Geografia
der,Erfolg,success,sucesso
das,Ergebnis,Result,Resultado
die,Erinnerung,reminder,lembrete
das,Erlebnis,adventure,aventura
die,Ernährung,nourishment,nutrição
die,Erste-Hilfe,First aid,Primeiros socorros
das,Erste-Hilfe-Zentrum,First aid center,Centro de primeiros socorros
das,Esszimmer,dining room,sala de jantar
die,Existenz,existence,existência
der,Existenzgründerkurs,Business start,Início de negócios
das,Fach,subject,sujeito
das,Fachabitur,Qualification,Qualificação
die,Fachhochschule,University of Applied Sciences,Universidade de Ciências Aplicadas
die,Fachoberschule,Subject,Sujeito
die,Fachrichtung,specialization,especialização
die,Fähigkeit,capability,capacidade
die,Fahrradstadt,Bicycle city,Cidade de bicicleta
der,Fahrradweg,Bicycle path,Ciclovia
das,Familienmitglied,family member,membro da família
der,Familientag,Family day,Dia da família
der,Familienwagen,Family car,Carro da família
die,Fantasie,fantasy,fantasia
der,Farbroller,Paint roller,Rolo de pintura
der,Fehler,failure,fracasso
der,Feiertag,holiday,feriado
der,Fernsehabend,TV evening,Noite de tv.
das,Fernsehen,TV,televisão
das,Fernsehprogramm,Television program,Programa de televisão
der,Festtag,Holiday,Feriado
das,Fett,fat,gordura
das,Feuerwerk,Fireworks,Fogos de artifício
das,Fieberthermometer,Fever thermometer,Termômetro de febre
die,Finanzierung,financing,financiamento
das,Firmenjubiläum,Company anniversary,Aniversário da empresa
die,Firmenkantine,Company edge,Borda da empresa
die,Fischspezialität,Fishpitality,Fishpitality.
das,Fitnesscenter,Fitness center,Academia
das,Fitnessstudio,Gym,Academia
der,Fleischersatz,Meat,Eu no
die,Fliese,tile,telha
das,Flüchtlingsheim,Refugee home,Casa de refugiados
der,Flug,flight,voo
das,Flugticket,Plane ticket,Passagem de avião
die,Förderschule,special school,Escola Especial
die,Förderung,advancement,avanço
die,Formularhilfe,Form help,Ajuda de forma
die,Fortbildung,Training,Treinamento
die,Fortbildungsmöglichkeit,Training opportunity,Oportunidade de treinamento
die,Fotografie,photography,fotografia
der,Fragebogen,questionnaire,questionário
die,Frauenfreundschaft,Female friendship,Amizade feminina
die,Frauengruppe,Female group,Grupo feminino
der,Freitagvormittag,Friday morning,sexta-feira de manhã
die,Fremdsprache,foreign language,lingua estrangeira
die,Freundschaft,Friendship,Amizade
die,Freundschaftsgeschichte,Friendship History,História da amizade
der,Freundschaftsverein,Friendship,Amizade
die,Früherkennung,early detection,detecção precoce
der,Fußballverein,Soccer club,Clube de futebol
die,Gabel,fork,garfo
die,Garantie,guarantee,garantia
der,Garantieschein,Warranty,garantia
das,Gästezimmer,Guest room,Quarto de hóspedes
der,Gebrauchtwagen,used cars,carros usados
die,Geburt,birth,nascimento
das,Geburtshaus,Birthplace,Local de nascimento.
der,Geburtstag,date of birth,data de nascimento
der,Gedanke,thought,pensei
das,Gedicht,poem,poema
das,Gehalt,salary,salário
die,Geheimnummer,Secret number,Número secreto
das,Gerät,device,dispositivo
die,Gerechtigkeit,Justice,Justiça
das,Gericht,court,Tribunal
die,Gesamtschule,comprehensive school,escola compreensiva
der,Gesangsverein,Singing club,Cantando clube
das,Geschäftskonto,Business account,Conta de negócios
die,Geschäftsreise,Business trip,Viagem de negócios
das,Geschenk,gift,Presente
die,Geschichte,story,história
das,Geschirr,dishes,pratos
das,Gesprächsthema,Topic,Tema
der,Gesundheits-Check,Health check,Exame de saúde
die,Gesundheitsuntersuchung,Health investigation,Investigação de saúde
der,Getränkeautomat,Vending machine,Maquina de vendas
das,Getreideprodukt,Cereal,Cereal
das,Gewerbeamt,commercial office,escritório comercial.
das,Gewitter,thunderstorm,trovoada
das,Girokonto,checking account,conta corrente
die,Gitarre,guitar,violão
der,Glückwunsch,congratulation,Parabéns
die,Glückwunschkarte,greeting card,Cartão
die,Grammatik,grammar,gramática
die,Grammatikregel,Grammar rule,Regra de gramática
der,Grund,reason,razão
die,Grundregel,Rule,Regra
die,Grundschule,primary school,escola primária
die,Gruppe,group,grupo
die,Gruppenarbeit,work in groups,trabalho em grupos
der,Gutschein,coupon,cupom
das,Gymnasium,high school,ensino médio
die,Haftpflichtversicherung,Liability insurance,Seguro de responsabilidade
das,Halbjahr,Half-year,Meio ano
der,Hammer,hammer,martelo
das,Handtuch,hand towel,toalha de mão
der,Hauptschulabschluss,Hauptschulabschluss,Hauptschulabschluss.
die,Hauptschule,secondary schools,escolas secundárias
die,Hauptspeise,main course,Prato principal
die,Hausapotheke,Homepathe,Homepathe
die,Hausaufgabenhilfe,Homework help,Ajuda do dever de casa
der,Haushalt,household,doméstico
der,Hausmüll,Household waste,Lixo doméstico
die,Hausratversicherung,Household insurance,Seguro doméstico
das,Haustier,domestic animal,animal doméstico
das,Heim,home,casa
der,Heimatverein,Home club,Clube Home
der,Heimverkerkurs,Home crowd,Multidão em casa
die,Hilfe,help,ajuda
der,Himmel,sky,céu
der,Hinflug,Outward flight,Voo externo
die,Hochzeitsfeier,wedding party,festa de casamento
die,Hochzeitskleidung,Wedding clothing,Roupa de casamento
der,Hochzeitstag,wedding day,dia do casamento
die,Hochzeitstorte,wedding cake,bolo de casamento
die,Höhe,height,altura
der,Humor,humor,humor
die,Hütte,hut,cabana
die,Immobilie,Property,Propriedade
die,Information,information,em formação
die,Initiativbewerbung,initiative application,Aplicação de iniciativa
die,Innenstadt,Downtown,Centro da cidade
die,Insel,Island,ilha
die,Institution,institution,instituição
das,Interesse,interest,interesse
die,Internetseite,Website,Local na rede Internet
der,Internetzugang,Internet access,Acesso à internet
der,Job,job,trabalho
das,Jubiläum,anniversary,aniversário
die,Jugend,youth,Juventude
der,Kaffeeautomat,Coffee machine,Máquina de café
die,Kaffeekanne,Coffee pot,Pote de café
die,Kaligraphie,Caligraphy,Caligrafia
die,Kaltmiete,Cold rent,Aluguer frio
die,Kamera,camera,Câmera
die,Kapazität,capacity,capacidade
der,Karnevalsverein,Carnival club,Clube de Carnaval
die,Karteikarte,index card,cartão de índice
die,Kartoffelsuppe,Potato soup,Sopa de batata
der,Katalog,Catalog,Catálogo
die,Katze,cat,gato
die,Kaution,deposit,depósito
die,Kerze,candle,vela
die,Kette,chain,cadeia
die,Kfz-Versicherung,Car insurance,Seguro de automóvel
der,Kilometer,kilometre,quilômetro
die,Kindersendung,Child's program,Programa da criança
das,Kinderzimmer,nursery,berçário
der,Kiosk,kiosk,quiosque
die,Klasse,Great,Excelente
die,Klassenarbeit,Class,Classe
die,Klassenfahrt,school trip,viagem escolar
die,Klassenkasse,Classkash,Classkash.
die,Klavierbegleitung,Piano accompaniment,Acompanhamento de piano
der,Kleingartenverein,Gardening,Jardinagem
der,Kleinwagen,Small car,Carro pequeno
die,Kochidee,Cookie,Biscoito
der,Kochkurs,Cooking class,Aula de culinária
der,Koffer,suitcase,mala
das,Komma,comma,vírgula
das,Konto,account,conta
die,Kontogebühr,Account fee,Taxa da conta
der,Kopfhörer,headphones,fones de ouvido
die,Kopie,Copy,cópia de
der,Kopierer,copier,copiadora
der,Körper,body,corpo
die,Krankenverischerung,Sickness,Doença
der,Krankenwagen,ambulance,ambulância
die,Krankheit,illness,doença
die,Kreativität,creativity,criatividade
der,Kredit,credit,crédito
die,Kreditkarte,Credit card,Cartão de crédito
die,Krimiserie,Crime series,Série do crime
die,Küchenhilfe,Kitchen Help,Ajuda da cozinha
das,Küchenstudio,Kitchen studio,Estúdio de cozinha
das,Kühlregal,Cooling shelf,Prateleira de refrigeração
das,Kundententrum,Client,Cliente
die,Kunst,Arts,Artes.
der,Kurs,course,curso
das,Kursangebot,Course,Curso
das,Kurzprogramm,Short program,Programa curto
die,Küste,coast,costa
die,Laboruntersuchung,Laboratory investigation,Investigação de laboratório
das,Ladekabel,Charging cable,Cabo de carregamento
die,Lage,location,localização
das,Laminat,Laminate,Laminado
die,Langeweile,boredom,tédio
das,Lebensjahr,age,era
der,Lebenslauf,curriculum vitae,curriculum vitae
die,Leiter,ladder,escada
der,Leitpfosten,Lead,Liderar
die,Lernkarte,Learning card,Cartão de aprendizagem
die,Liebe,love,amar
das,Lieblingsfach,favorite subject,assunto favorito
das,Lieblingsspiel,favourite game,Jogo favorito
das,Lied,song,música
der,Löffel,spoon,colher
die,Lohnsteuerhilfe,Payroll,Folha de pagamento
das,Lokal,Local,Local
die,Luft,air,ar
der,Magen,stomach,estômago
die,Männerfreundschaft,Male friendship,Amizade masculina
die,Maschine,machine,máquina
der,Maschinenbaun,Mechanical engineer,Engenheiro mecânico
das,Maß,Measurement,Medição
die,Massage,massage,massagem
der,Massagestuhl,Massage chair,Cadeira de massagem
die,Mathematik,mathematics,matemática
die,Mediennutzung,Media usage,Uso da mídia.
das,Medium,medium,médio
die,Medizin,medicine,Medicina
die,Meinung,opinion,opinião
das,Messer,knife,faca
das,Milchprodukt,Milk product,Produto do leite
die,Million,million,milhão
die,Minijob-Basis,Mini job basis,Mini base de emprego
das,Mitglied,member,membro
der,Mitgliedsbeitrage,Member contribution,Contribuição de membros
die,Mitteilung,Message,Mensagem
die,Möglichkeit,opportunity,oportunidade
das,Museum,museum,museu
der,Musikfreund,Music friend,Amigo de música.
der,Musikschulverein,Music school,Escola de música
der,Musikverein,music Society,Sociedade de Música.
der,Muskel,muscle,músculo
das,Muskeltraining,Muscle,Músculo
der,Mut,courage,coragem
die,Nachbarschaft,neighborhood,vizinhança
das,Nachbarschaftshaus,Neighborhood house,Casa de bairro
die,Nachhilfe,tutoring,tutoria
die,Nachricht,news,notícia
die,Nachspeise,dessert,sobremesa
der,Nagel,nail,unha
der,Nähabend,Sewing,De costura
das,Nahrungsmittel,food,Comida
die,Nebenwirkung,side effect,efeito colateral
das,Netzwerk,network,rede
das,Neujahr,New Year,Ano Novo
der,Neuwagen,New car,Carro novo
die,Nichte,niece,sobrinha
die,Not,Emergency,Emergência
der,Notarztwagen,emergency,emergência
die,Note,grade,grau
die,Notrufsäule,Emergency call,Ligação de emergência
die,Notrufzentrale,Emergency call center,Centro de Chamada de Emergência
die,Nutzungsdauer,Useful life,Vida útil
der,Oberkörper,upper body,tronco
der,Obstkorb,Fruit basket,Cesto de frutas
der,Ohrring,Earring,Brinco
die,Online-Anmeldung,Online registration,Registro online
das,Online-Banking,Online Banking,Acesso a operações bancárias via Internet
das,Online-Spiel,Online game,Jogo online
die,Online-Überweisung,Online transfer,Transferência Online.
die,Option,option,opção
der,Ordner,folder,pasta
die,Ordnung,order,pedido
der,Pannendienst,Spanning service,Spanning Service.
das,Parfüm,Perfume,Perfume
die,Partei,Political party,Partido politico
das,Passwort,password,senha
die,Pausenregel,Pause rule,Pause Regra.
der,Personenbeförderungsschein,Passenger transport certificate,Certificado de transporte de passageiros
der,Pfiff,whistle,apito
das,Pflaster,band Aid,curativo
der,Pflegedienst,Nursing,Enfermagem
die,Physik,physics,física
die,PIN,pin code,Código PIN.
das,Pinsel-Set,Brush set,Pincel Set.
die,Pinzette,tweezers,pinças
der,Pizzaservice,Pizza service,Serviço de pizza.
die,Pizzeria,pizzeria,pizzaria
das,Plakat,poster,poster
die,Platzreservierung,Area reservation,Reserva de área
die,Politik,politics,política
das,Portemonnaie,Wallet,Carteira
der,Posteingang,inbox,caixa de entrada
das,Poster,poster,poster
das,Praktikum,internship,estágio
die,Praline,Praline,Praline.
die,Präsentation,presentation,apresentação
das,Privatkonto,Private account,Conta privada
das,Privatleben,Private life,Vida privada
die,Privatschule,Private school,Escola particular
das,Projekt,Project,Projeto
der,Prospekt,brochure,folheto
das,Prozent,percent,por cento
die,Prüfung,test,teste
die,Quittung,receipt,recibo
das,Quiz,quiz,questionário
das,Rad,wheel,roda
der,Radweg,Bike path,Ciclovia
der,Rasierapparat,razor,navalha
der,Raum,space,espaço
die,Realschule,secondary school,Ensino Médio
die,Rechnung,invoice,fatura
die,Rechtsberatung,Legal advice,Aconselhamento jurídico
die,Rechtsschutzversicherung,Legal protection insurance,Seguro de Proteção Legal.
das,Reinigungsunternehmen,Cleaning company,Companhia de Limpeza
der,Reisebus,Coach,Treinador
das,Reisedokument,Travel document,Documento de viagem
der,Reiseführer,travel Guide,guia de viagem
die,Reiseplanung,Travel planning,Planejamento de viagens
die,Reisezeit,Travel time,Tempo de viagem
das,Reiseziel,holiday destination,destino de férias
die,Reklamation,claim,alegar
die,Renovierung,renovation,renovação
die,Rentenversicherung,pension insurance,seguro de pensão
die,Reparatur,repair,reparar
der,Richtunspfeil,Directional index,Índice Direcional
das,Rollenmaß,Roll,Lista
die,Rose,rose,Rosa
der,Rückflug,Return flight,Vôo de retorno
der,Rucksack,backpack,mochila
die,Ruhe,Quiet,Quieto
der,Rundfunkbeitrag,Broadcasting contribution,Contribuição de radiodifusão
der,Rundgang,tour,percorrer
die,Salbe,ointment,pomada
der,Sand,sand,areia
der,Satz,sentence,frase
die,Säule,pillar,pilar
die,Schachtel,box,caixa
der,Schaden,damage,dano
der,Schalter,counter,contador
die,Schere,scissors,tesoura
die,Schichtarbeit,shift work,trabalho por turnos
der,Schlafsack,Sleeping bag,Saco de dormir
der,Schleier,veil,véu
das,Schmerzmittel,Painkiller,Analgésico
der,Schmuck,Jewellery,Jóias
das,Schnitzel,cutlet,costoleta
die,Schraube,screw,parafuso
der,Schritt,step,Passo
der,Schulabschuss,Loan,Empréstimo
die,Schulbildung,Education,Educação
das,Schulbuch,Textbook,Livro didático
der,Schulhof,Schoolhouse,Escola
das,Schuljahr,school year,ano escolar
die,Schulkantine,Schoolcartine,Schoolcartine.
die,Schulpflicht,Compulsory,Obrigatório
das,Schulsystem,school-system,sistema escolar
der,Schulweg,way to school,caminho para a escola
die,Schulzeit,schooldays,dias escolares
der,Schutz,protection,proteção
das,Schwarze Brett,Black board,Quadro-negro
der,Schwerpunkt,main emphasis,Ênfase principal.
der,Schwimmunterricht,swimming lessons,aulas de natação
die,Selbständigkeit,independence,independência
die,Sendung,broadcast,transmissão
der,Seniorentreff,Senior,Senior
die,Serie,series,Series
der,Service,service,serviço
die,Servicekraft,Service,Serviço
die,Serviette,napkin,guardanapo
der,Singkreis,Portion,Parte
der,Sinn,sense,senso
das,Skigebiet,Ski Area,Área de esqui
die,Sofortmaßnahme,Immediate action,Ação imediata
die,Software,software,Programas
das,Softwareprogamm,SoftwareProgamm,Softwareprogamm.
die,Solidarität,solidarity,solidariedade
der,Sondertarif,Special tariff,Tarifa especial
die,Sonnenbrille,sunglasses,oculos escuros
die,Sonnencreme,suncream,protetor solar
der,Sonnenhut,Sunshade,Guarda-sol
der,Sonnenschirm,parasol,guarda-sol.
der,Sonntagabend,Sunday evening,Domingo à noite
die,Sorge,worries,Preocupações
die,Sozialberatung,Social counseling,Aconselhamento Social
das,Sozialverhalten,Social behavior,Comportamento social
die,Spedition,carrier,operadora
das,Spiel,game,jogos
der,Spielfilm,motion pictures,imagens de movimento
die,Sportsendung,Sports show,Show de esportes
der,Sportunterricht,Sports lessons,Lições esportivas
der,Sportverein,Sports club,Clube de esportes
der,Sportwagen,Sports car,Carro esportivo
der,Sprachkurs,Language course,Curso de linguagem
das,Sprichwort,saying,dizendo
die,Spritze,syringe,seringa
der,Spruch,Saying,Dizendo
der,Stadtteil,district,distrito
die,Stadtverwaltung,City administration,Administração da cidade
das,Stadtzentrum,City center,Centro da cidade
der,Stand,was standing,estava em pé
die,Standmiete,Stand rental,Aluguer de carrinho
die,Start-Taste,Start button,Botão de início
der,Stau,traffic jam,engarrafamento
der,Staubsauger,vacuum cleaner,aspirador de pó
das,Stellenangebot,Job offer,Oferta de emprego
die,Stimmung,mood,humor
die,Störung,disturbance,perturbação
die,Strafe,penalty,pena
der,Stress,stress,estresse
das,Stromkabel,Power cable,Cabo de energia
der,Studienplatz,Study place,Lugar de estudo
das,Studium,studies,estudos
der,Stundenplan,Timetable,Calendário
der,Sturm,storm,tempestade
der,Support,Support,"Apoio, suporte"
die,Tabellenkalkulation,Spreadsheet,Planilha
die,Talkshow,Talk show,Programa de entrevistas
die,Tanzfläche,dance floor,pista de dança
der,Tanzkurs,Dance course,Curso de dança
die,Tapete,wallpaper,papel de parede
der,Tarif,Tariff,Tarifa
das,Taschengeld,pocket money,mesada
die,Taste,button,botão
die,Tätigkeit,task,tarefa
die,Teamarbeit,Teamwork,Trabalho em equipe
die,Technik,technology,tecnologia
der,Teddybär,teddy bear,urso Teddy
die,Teilzeit,Part-time,Meio período
die,Teilzeitarbeit,part time jobs,trabalho de meio período
der,Telefonanbieter,Telephone service,Serviço de telefone
die,Telefonzentrale,Telephone center,Centro Telefônico
der,Teller,Plate,Placa
die,Tendenz,tendency,tendência
der,Tetanus,tetanus,tétano
die,Theatergruppe,Theater group,Grupo de teatro
das,Ticket,ticket,bilhete
die,Tiefe,depth,profundidade
die,Tierhaltung,livestock farming,pecuária agricultura
der,Tofu,tofu,tofu
die,Tonaufnahme,Sound recording,Gravação de som
das,Topangebot,Top offer,Top oferta
der,Tourismus,tourism,turismo
die,Tradition,tradition,tradição
der,TRansportwagen,Trolley,Carrinho
der,Traum,dream,Sonhe
die,Trauung,wedding,Casamento
das,Trinkgeld,Tip,Gorjeta
der,Turnverein,Gymnastics,Ginástica
der,Typ,Type,Modelo
die,Überraschung,surprise,surpresa
die,Überstunde,hour of overtime,hora de horas extras.
die,Übung,a practice,uma prática
die,Uhrzeit,time,Tempo
die,Umdrehung,revolution,revolução
die,Umgebung,Surroundings,Arredores
die,Universität,university,universidade
die,Universitätsstadt,University City,Cidade universitária.
die,Unterkunft,accommodation,alojamento
der,Urin,urine,urina
die,Urin-Untersuchung,Urine examination,Exame de urina
das,Urlaubsfoto,Holiday photo,Foto de férias
die,Urlaubsreise,Vacation trip,Viagem de férias
die,Ursache,root cause,causa raiz
die,Veranstaltung,event,evento
der,Verband,Association,Associação
der,Verein,society,sociedade
das,Vereinsleben,Club life,Vida do clube.
die,Verkehrsmeldung,Traffic report,Relatório de tráfego
der,Verkehrsverbund,Transport network,Rede de transporte
das,Versehen,Mistake,Erro
die,Versicherung,insurance,seguro
der,Verisucherungsschutz,Commercial protection,Proteção comercial
das,Vitamin,vitamin,Vitamina
die,Vollzeit,Full-time,Tempo total
die,Voraussetzung,pre-condition,condição prévia
der,Vorort,On site,No local
der,Vorschlag,proposal,proposta
die,Vorsorgeuntersuchung,Precautionary examination,Exame de precaução
die,Verspeise,Mesh,Malha
das,Vorstellungsgespräch,job interview,entrevista de emprego
der,Wagen,dare,Atreva-se
die,Wagenreparatur,Car repair,Reparo de carros
die,Wagentür,Wail door,Porta lasciva
das,Wahrzeichen,Landmark,Marco
die,Wandfarbe,Wall paint,tinta de parede
die,Wärme,warmth,cordialidade
die,Wäscherei,laundry,lavanderia
das,Wasserschloss,Water lock,Fechadura de água
das,WC,WC,banheiro
das,Webdesign,Webdesign,Designer de Web
die,Webseite,website,local na rede Internet
